Time (s),i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
13.773,0.1095,0.244,0.1345,-0.177,-0.012,0.1885,0.088,0.3005,0.346,0.0275,-0.1215,-0.0795,0.0395,-0.254,-0.0095
13.774,0.156,0.302,0.146,-0.2295,0.005,0.2235,0.1145,0.3325,0.372,0.046,-0.107,-0.0655,0.0345,-0.2495,-0.0155
13.775,0.1305,0.2885,0.158,-0.2095,-0.0135,0.2225,0.1205,0.351,0.383,0.052,-0.102,-0.059,0.028,-0.2535,-0.022
13.776,0.094,0.2345,0.1405,-0.1645,-0.023,0.187,0.116,0.3385,0.3775,0.045,-0.1075,-0.061,0.039,-0.271,-0.0135
13.777,0.0915,0.2195,0.1275,-0.156,-0.018,0.173,0.1145,0.332,0.373,0.0405,-0.116,-0.0695,0.0345,-0.26,-0.0165
13.778,0.1115,0.24,0.1285,-0.176,-0.008,0.184,0.1165,0.3325,0.375,0.042,-0.1205,-0.073,0.029,-0.2655,-0.0205
13.779,0.09,0.203,0.113,-0.1465,-0.0115,0.1575,0.0945,0.3135,0.356,0.024,-0.1435,-0.0925,0.033,-0.2665,-0.0105
13.78,0.0895,0.1905,0.1015,-0.14,-0.006,0.1455,0.073,0.2895,0.3365,0.0075,-0.165,-0.1115,0.0285,-0.233,-0.0065
13.781,0.08,0.189,0.1085,-0.1345,-0.014,0.1485,0.0775,0.289,0.334,0.008,-0.1685,-0.112,0.0305,-0.236,-0.004
13.782,0.0335,0.1665,0.133,-0.1005,-0.049,0.149,0.0885,0.289,0.328,0.0085,-0.166,-0.1095,0.0325,-0.2465,-0.0105
13.783,0.025,0.155,0.13,-0.0905,-0.052,0.142,0.1045,0.2925,0.332,0.019,-0.154,-0.0985,0.03,-0.267,-0.0135
13.784,0.0455,0.159,0.113,-0.1025,-0.0335,0.1355,0.096,0.2785,0.3195,0.0105,-0.163,-0.109,0.024,-0.2585,-0.014
13.785,0.08,0.182,0.102,-0.131,-0.0105,0.1415,0.0985,0.275,0.3135,0.011,-0.1605,-0.1075,0.025,-0.247,-0.0175
13.786,0.0785,0.1575,0.0795,-0.118,-0.0005,0.118,0.089,0.273,0.31,0.014,-0.149,-0.097,0.0345,-0.2675,-0.0115
13.787,0.079,0.143,0.0635,-0.1115,0.008,0.1025,0.06,0.2505,0.2935,0.0065,-0.15,-0.1055,0.04,-0.267,-0.0055
13.788,0.0545,0.142,0.0875,-0.0985,-0.016,0.114,0.0545,0.2465,0.287,0.005,-0.148,-0.1085,0.045,-0.2585,-0.006
13.789,0.0385,0.1595,0.121,-0.0995,-0.041,0.14,0.0775,0.257,0.292,0.013,-0.1345,-0.0985,0.036,-0.2685,-0.0145
13.79,0.0875,0.209,0.1215,-0.149,-0.017,0.165,0.1045,0.275,0.307,0.031,-0.1105,-0.075,0.038,-0.2685,-0.015
13.791,0.1275,0.244,0.1165,-0.186,0.006,0.1795,0.112,0.285,0.308,0.032,-0.096,-0.061,0.0445,-0.253,-0.0095
13.792,0.1475,0.27,0.1225,-0.209,0.0125,0.1955,0.1145,0.274,0.299,0.0255,-0.091,-0.053,0.034,-0.264,-0.018
13.793,0.1725,0.2945,0.122,-0.2335,0.0255,0.2075,0.11,0.27,0.2915,0.019,-0.0935,-0.052,0.0345,-0.2675,-0.012
13.794,0.202,0.3135,0.1115,-0.258,0.0455,0.212,0.104,0.264,0.2765,0.004,-0.102,-0.0595,0.0315,-0.2515,0.0025
13.795,0.1565,0.303,0.1465,-0.23,0.005,0.2245,0.095,0.242,0.2525,-0.018,-0.1185,-0.072,0.0155,-0.2255,0.0095
13.796,0.1215,0.3045,0.183,-0.2135,-0.0305,0.243,0.1075,0.24,0.247,-0.0205,-0.1155,-0.0685,0.013,-0.2155,0.018
13.797,0.154,0.3115,0.158,-0.233,-0.002,0.234,0.12,0.2395,0.2505,-0.013,-0.104,-0.0515,0.0225,-0.209,0.0245
13.798,0.1535,0.296,0.143,-0.225,0.0055,0.219,0.1015,0.213,0.2345,-0.0195,-0.113,-0.0585,0.019,-0.2175,0.034
13.799,0.1075,0.2565,0.1485,-0.1825,-0.0205,0.202,0.079,0.19,0.2085,-0.0415,-0.1375,-0.083,0.0155,-0.232,0.031
13.8,-0.011,0.17,0.181,-0.08,-0.0955,0.175,0.045,0.1605,0.172,-0.075,-0.1725,-0.116,0.0245,-0.227,0.034
13.801,-0.099,0.1185,0.2175,-0.01,-0.158,0.1675,0.0115,0.121,0.1405,-0.1,-0.195,-0.1365,0.0265,-0.194,0.0315
13.802,-0.1255,0.1295,0.255,-0.0025,-0.19,0.192,-0.0015,0.1045,0.1285,-0.1075,-0.1985,-0.1305,0.0345,-0.1755,0.0385
13.803,-0.1595,0.1275,0.2875,0.016,-0.223,0.207,0.004,0.094,0.1105,-0.119,-0.203,-0.129,0.0385,-0.194,0.0445
13.804,-0.103,0.14,0.2435,-0.0185,-0.173,0.1915,0.012,0.094,0.1,-0.1235,-0.2095,-0.134,0.0385,-0.1815,0.034
13.805,-0.0055,0.1945,0.2005,-0.0945,-0.1025,0.197,0.02,0.107,0.109,-0.1095,-0.1975,-0.1205,0.0435,-0.2065,0.053
13.806,0.115,0.293,0.1785,-0.204,-0.0315,0.235,0.0405,0.115,0.1205,-0.0915,-0.168,-0.0915,0.041,-0.2295,0.056
13.807,0.183,0.3515,0.1685,-0.268,0.0075,0.2595,0.064,0.1325,0.1345,-0.0735,-0.142,-0.0635,0.0455,-0.215,0.057
13.808,0.127,0.293,0.1655,-0.21,-0.019,0.2285,0.0595,0.1225,0.118,-0.089,-0.148,-0.064,0.043,-0.219,0.065
13.809,0.0535,0.234,0.1805,-0.144,-0.0635,0.207,0.0505,0.109,0.108,-0.1005,-0.155,-0.069,0.033,-0.2215,0.0535
13.81,-0.0065,0.2305,0.237,-0.112,-0.1215,0.2335,0.0655,0.1255,0.1315,-0.0725,-0.124,-0.04,0.0355,-0.2315,0.061
13.811,0.0145,0.2605,0.2465,-0.1375,-0.116,0.253,0.0625,0.118,0.1285,-0.07,-0.1155,-0.0285,0.03,-0.2185,0.063
13.812,0.1445,0.337,0.1925,-0.241,-0.024,0.264,0.0565,0.104,0.113,-0.0865,-0.127,-0.037,0.0265,-0.164,0.0735
13.813,0.257,0.412,0.155,-0.3345,0.051,0.283,0.057,0.094,0.113,-0.0835,-0.12,-0.0235,0.033,-0.1515,0.099
13.814,0.214,0.384,0.17,-0.299,0.0225,0.2765,0.036,0.083,0.1015,-0.0965,-0.13,-0.025,0.0255,-0.1655,0.076
13.815,0.0935,0.274,0.1805,-0.184,-0.0435,0.227,-0.0085,0.051,0.06,-0.1405,-0.1705,-0.062,0.023,-0.166,0.064
13.816,-0.021,0.158,0.179,-0.069,-0.0995,0.168,-0.0595,-0.0015,0.008,-0.1875,-0.215,-0.105,0.023,-0.1795,0.0745
13.817,-0.124,0.073,0.197,0.025,-0.16,0.1345,-0.068,-0.0165,-0.011,-0.204,-0.2315,-0.1215,0.0185,-0.1865,0.0725
13.818,-0.1765,0.061,0.238,0.0575,-0.207,0.149,-0.061,-0.01,-0.0015,-0.1895,-0.2145,-0.1145,0.0135,-0.2015,0.0715
13.819,-0.1515,0.095,0.247,0.028,-0.199,0.1705,-0.0625,-0.014,-0.002,-0.1785,-0.199,-0.1085,0.0045,-0.217,0.063
13.82,-0.066,0.128,0.1935,-0.0315,-0.1295,0.1605,-0.0605,-0.0195,-0.0155,-0.185,-0.202,-0.1145,0.014,-0.2005,0.0725
13.821,-0.039,0.129,0.168,-0.045,-0.1035,0.148,-0.0695,-0.0365,-0.036,-0.204,-0.2195,-0.1325,0.0135,-0.176,0.0745
13.822,-0.04,0.1635,0.2035,-0.062,-0.1215,0.183,-0.0515,-0.031,-0.023,-0.1915,-0.2035,-0.113,0.009,-0.168,0.0755
13.823,0.022,0.228,0.206,-0.1255,-0.0915,0.2165,-0.025,-0.0075,0.006,-0.1615,-0.174,-0.081,0.016,-0.177,0.0835
13.824,0.0785,0.2775,0.199,-0.178,-0.06,0.238,-0.002,0.001,0.0145,-0.151,-0.161,-0.0645,0.0085,-0.157,0.074
13.825,0.0995,0.3095,0.2095,-0.205,-0.0545,0.259,0.014,0.01,0.0205,-0.142,-0.1435,-0.045,0.0095,-0.1355,0.0785
13.826,0.0645,0.2625,0.198,-0.1635,-0.0665,0.2295,-0.0145,-0.011,-0.001,-0.157,-0.159,-0.0585,0.0155,-0.16,0.094
13.827,0.004,0.224,0.2195,-0.114,-0.1075,0.2215,-0.0415,-0.0475,-0.034,-0.1855,-0.182,-0.079,0.012,-0.168,0.102
13.828,-0.0175,0.221,0.2385,-0.102,-0.128,0.2295,-0.0505,-0.055,-0.0395,-0.189,-0.1865,-0.081,0.016,-0.151,0.1075
13.829,-0.015,0.2185,0.2335,-0.102,-0.124,0.2255,-0.045,-0.0445,-0.0355,-0.185,-0.1835,-0.074,0.0165,-0.1545,0.109
13.83,0.0135,0.24,0.2265,-0.127,-0.106,0.2325,-0.0445,-0.0425,-0.033,-0.1805,-0.1765,-0.067,0.0165,-0.1745,0.1075
13.831,0.066,0.295,0.229,-0.181,-0.081,0.2615,-0.0355,-0.0405,-0.022,-0.1645,-0.168,-0.057,0.0215,-0.159,0.1045
13.832,0.1105,0.356,0.246,-0.2335,-0.0675,0.3005,-0.015,-0.024,-0.013,-0.152,-0.15,-0.0365,0.023,-0.144,0.0885
13.833,0.1075,0.3545,0.2475,-0.2315,-0.0695,0.3005,-0.0075,-0.0205,-0.0065,-0.1455,-0.138,-0.0275,0.0275,-0.1575,0.086
13.834,0.0705,0.335,0.264,-0.203,-0.0965,0.299,-0.0085,-0.0215,-0.003,-0.14,-0.1335,-0.026,0.0195,-0.173,0.09
13.835,0.0655,0.3445,0.279,-0.2055,-0.1065,0.3115,-0.025,-0.0435,-0.0255,-0.158,-0.149,-0.043,0.014,-0.17,0.0865
13.836,0.0575,0.34,0.2825,-0.199,-0.112,0.3105,-0.0315,-0.0635,-0.0465,-0.1755,-0.165,-0.061,0.0215,-0.1455,0.0875
13.837,0.0425,0.32,0.2775,-0.1815,-0.117,0.298,-0.0385,-0.061,-0.049,-0.1755,-0.1625,-0.0575,0.0275,-0.1605,0.0905
13.838,0.0235,0.298,0.275,-0.161,-0.1255,0.286,-0.0355,-0.0805,-0.057,-0.182,-0.1675,-0.064,0.023,-0.1695,0.093
13.839,-0.006,0.268,0.274,-0.131,-0.14,0.2705,-0.05,-0.0915,-0.0695,-0.19,-0.1795,-0.0805,0.0135,-0.144,0.09
13.84,0.012,0.2545,0.2425,-0.1335,-0.115,0.248,-0.0865,-0.1085,-0.0885,-0.2055,-0.188,-0.089,0.016,-0.131,0.1
13.841,0.0275,0.272,0.2445,-0.15,-0.108,0.2575,-0.0845,-0.1075,-0.0965,-0.213,-0.185,-0.084,0.0205,-0.124,0.111
13.842,0.008,0.2915,0.2835,-0.15,-0.1375,0.287,-0.0615,-0.077,-0.0735,-0.1945,-0.166,-0.063,0.023,-0.1425,0.103
13.843,-0.016,0.3045,0.321,-0.1445,-0.1685,0.3125,-0.043,-0.0715,-0.073,-0.192,-0.156,-0.0535,0.0215,-0.1565,0.1025
13.844,-0.0335,0.283,0.3165,-0.125,-0.1745,0.299,-0.04,-0.079,-0.0855,-0.199,-0.159,-0.0545,0.0175,-0.143,0.11
13.845,-0.06,0.227,0.2875,-0.0835,-0.1735,0.2565,-0.0405,-0.0915,-0.089,-0.2065,-0.167,-0.0545,0.0125,-0.143,0.112
13.846,-0.044,0.2365,0.28,-0.0965,-0.1615,0.2575,-0.046,-0.1015,-0.1065,-0.223,-0.177,-0.059,0.0175,-0.1405,0.1205
13.847,0.016,0.3045,0.2885,-0.1605,-0.136,0.296,-0.0455,-0.094,-0.102,-0.2085,-0.158,-0.0385,0.0175,-0.1225,0.127
13.848,0.022,0.3315,0.31,-0.177,-0.1435,0.3205,-0.051,-0.091,-0.1005,-0.201,-0.144,-0.025,0.0075,-0.111,0.128
13.849,-0.031,0.281,0.3125,-0.125,-0.1715,0.2965,-0.066,-0.101,-0.117,-0.215,-0.1525,-0.038,0.008,-0.1145,0.1295
13.85,-0.1,0.203,0.303,-0.052,-0.2015,0.2525,-0.076,-0.1215,-0.133,-0.231,-0.1665,-0.053,0.0195,-0.107,0.1175
13.851,-0.087,0.1665,0.2535,-0.04,-0.17,0.2095,-0.1125,-0.1355,-0.1515,-0.2485,-0.18,-0.0665,0.041,-0.128,0.1055
13.852,-0.0135,0.2215,0.2355,-0.104,-0.1245,0.228,-0.106,-0.1165,-0.138,-0.2325,-0.1605,-0.0495,0.043,-0.1515,0.0995
13.853,0.0495,0.316,0.267,-0.183,-0.1085,0.291,-0.087,-0.107,-0.1185,-0.2135,-0.138,-0.025,0.046,-0.1285,0.107
13.854,0.139,0.403,0.264,-0.2715,-0.062,0.333,-0.078,-0.0905,-0.0875,-0.182,-0.111,0.0025,0.053,-0.111,0.125
13.855,0.2015,0.4815,0.2805,-0.3415,-0.039,0.3805,-0.0525,-0.069,-0.058,-0.151,-0.0845,0.03,0.0515,-0.0875,0.1235
13.856,0.137,0.4615,0.325,-0.2995,-0.094,0.3925,-0.068,-0.087,-0.0785,-0.175,-0.109,0.008,0.041,-0.0945,0.1265
13.857,0.0625,0.3925,0.33,-0.228,-0.1335,0.361,-0.075,-0.0915,-0.09,-0.1955,-0.1365,-0.017,0.0265,-0.112,0.13
13.858,0.0665,0.387,0.3205,-0.227,-0.127,0.3535,-0.069,-0.09,-0.0905,-0.1975,-0.14,-0.018,0.024,-0.0945,0.1305
13.859,0.036,0.349,0.313,-0.193,-0.138,0.3305,-0.0735,-0.1105,-0.0975,-0.2045,-0.15,-0.028,0.0145,-0.1175,0.123
13.86,-0.008,0.268,0.276,-0.13,-0.142,0.2715,-0.084,-0.1245,-0.1055,-0.2085,-0.16,-0.0385,0.0135,-0.1455,0.116
13.861,0.0025,0.2755,0.2735,-0.139,-0.135,0.274,-0.08,-0.1195,-0.105,-0.2065,-0.1585,-0.04,0.0105,-0.1305,0.1155
13.862,0.026,0.307,0.2815,-0.1665,-0.1275,0.2935,-0.067,-0.1125,-0.098,-0.1975,-0.15,-0.0325,0.0155,-0.13,0.1145
13.863,0.017,0.3015,0.2845,-0.1595,-0.1335,0.2925,-0.0735,-0.111,-0.1015,-0.196,-0.145,-0.028,0.025,-0.131,0.12
13.864,0.001,0.2905,0.2895,-0.146,-0.144,0.2895,-0.078,-0.124,-0.1135,-0.2065,-0.149,-0.037,0.0225,-0.1395,0.122
13.865,-0.04,0.2715,0.3115,-0.116,-0.1755,0.291,-0.083,-0.1325,-0.124,-0.2125,-0.152,-0.044,0.022,-0.1495,0.125
13.866,-0.0785,0.2665,0.345,-0.0945,-0.2115,0.3055,-0.0885,-0.1175,-0.1175,-0.2075,-0.1485,-0.039,0.0235,-0.138,0.122
13.867,-0.066,0.2795,0.345,-0.107,-0.2055,0.3115,-0.089,-0.115,-0.1095,-0.197,-0.1405,-0.0305,0.0335,-0.1365,0.1205
13.868,-0.0405,0.2835,0.324,-0.1215,-0.182,0.3035,-0.0785,-0.114,-0.108,-0.1935,-0.1405,-0.0275,0.032,-0.135,0.121
13.869,-0.028,0.262,0.2905,-0.117,-0.159,0.276,-0.087,-0.125,-0.125,-0.211,-0.154,-0.0375,0.024,-0.135,0.1205
13.87,-0.0425,0.2375,0.28,-0.098,-0.161,0.258,-0.101,-0.147,-0.151,-0.2365,-0.173,-0.052,0.0215,-0.1475,0.113
13.871,-0.0335,0.2285,0.2625,-0.098,-0.1475,0.245,-0.0975,-0.1465,-0.1555,-0.245,-0.1775,-0.052,0.026,-0.1645,0.1155
13.872,-0.057,0.203,0.26,-0.073,-0.1585,0.231,-0.107,-0.158,-0.1585,-0.2465,-0.179,-0.0595,0.0225,-0.172,0.1065
13.873,-0.043,0.2055,0.249,-0.0815,-0.146,0.227,-0.101,-0.159,-0.1505,-0.238,-0.1735,-0.0555,0.0275,-0.16,0.102
13.874,0.072,0.324,0.252,-0.198,-0.0895,0.2875,-0.0735,-0.1155,-0.1005,-0.1925,-0.1305,-0.0175,0.038,-0.134,0.12
13.875,0.14,0.418,0.2785,-0.279,-0.069,0.3475,-0.041,-0.0735,-0.054,-0.1455,-0.086,0.021,0.032,-0.139,0.1085
13.876,0.176,0.4435,0.2675,-0.31,-0.0455,0.355,-0.02,-0.0545,-0.036,-0.1285,-0.0705,0.036,0.038,-0.1445,0.1125
13.877,0.09,0.391,0.3015,-0.241,-0.1055,0.3455,-0.041,-0.069,-0.0455,-0.1375,-0.0875,0.015,0.0375,-0.1435,0.1215
13.878,-0.041,0.287,0.3275,-0.123,-0.184,0.3065,-0.062,-0.0935,-0.065,-0.155,-0.108,-0.0045,0.035,-0.1405,0.111
13.879,-0.0845,0.2615,0.346,-0.089,-0.215,0.3035,-0.0805,-0.1015,-0.0785,-0.171,-0.1225,-0.017,0.0405,-0.133,0.1095
13.88,-0.092,0.26,0.3525,-0.0845,-0.222,0.306,-0.0975,-0.119,-0.0935,-0.185,-0.141,-0.0365,0.0345,-0.119,0.1065
13.881,-0.0525,0.2505,0.3025,-0.0995,-0.177,0.276,-0.0995,-0.1425,-0.1115,-0.2045,-0.164,-0.0525,0.031,-0.105,0.101
13.882,-0.0035,0.2555,0.259,-0.1265,-0.131,0.257,-0.0975,-0.1365,-0.1095,-0.201,-0.165,-0.05,0.0405,-0.122,0.1045
13.883,0.032,0.2925,0.2605,-0.1625,-0.114,0.276,-0.083,-0.115,-0.091,-0.178,-0.1385,-0.0295,0.0545,-0.1315,0.112
13.884,0.0965,0.3675,0.2705,-0.2325,-0.0865,0.3185,-0.048,-0.085,-0.065,-0.147,-0.0985,0.0115,0.06,-0.1565,0.122
13.885,0.1555,0.425,0.2695,-0.2905,-0.057,0.3465,-0.0305,-0.066,-0.0415,-0.1215,-0.0705,0.038,0.063,-0.138,0.134
13.886,0.108,0.3785,0.2705,-0.2435,-0.081,0.324,-0.066,-0.085,-0.074,-0.15,-0.096,0.0105,0.0705,-0.1145,0.1355
13.887,0.0175,0.2745,0.2575,-0.146,-0.12,0.2655,-0.0925,-0.1135,-0.118,-0.1865,-0.125,-0.018,0.0745,-0.135,0.1355
13.888,-0.014,0.2495,0.2635,-0.118,-0.1385,0.256,-0.093,-0.125,-0.1215,-0.193,-0.122,-0.015,0.075,-0.1305,0.142
13.889,0.044,0.3355,0.2915,-0.19,-0.1235,0.313,-0.084,-0.117,-0.1175,-0.186,-0.1065,-0.0015,0.0725,-0.1045,0.143
13.89,0.0815,0.4215,0.34,-0.252,-0.1285,0.38,-0.073,-0.116,-0.116,-0.183,-0.1045,-0.0025,0.0675,-0.0735,0.143
13.891,0.025,0.362,0.3375,-0.194,-0.156,0.3495,-0.079,-0.13,-0.1215,-0.1875,-0.1155,-0.0125,0.0665,-0.0865,0.1375
13.892,-0.036,0.28,0.316,-0.122,-0.176,0.2975,-0.095,-0.144,-0.134,-0.1985,-0.127,-0.028,0.062,-0.1085,0.1275
13.893,-0.006,0.313,0.3195,-0.154,-0.1625,0.3155,-0.0845,-0.1285,-0.1205,-0.1885,-0.118,-0.0195,0.06,-0.1045,0.1245
13.894,0.006,0.322,0.316,-0.1645,-0.155,0.319,-0.071,-0.1175,-0.1065,-0.1825,-0.118,-0.017,0.0585,-0.099,0.117
13.895,-0.0235,0.287,0.3105,-0.132,-0.1665,0.298,-0.0775,-0.1255,-0.1095,-0.1905,-0.131,-0.031,0.055,-0.0995,0.1125
13.896,-0.029,0.28,0.3095,-0.1255,-0.169,0.2945,-0.0935,-0.1265,-0.1055,-0.1865,-0.134,-0.0355,0.0465,-0.105,0.1105
13.897,0.004,0.335,0.331,-0.1695,-0.1635,0.3325,-0.0915,-0.1235,-0.0965,-0.1855,-0.141,-0.0415,0.0325,-0.092,0.1105
13.898,0.064,0.3855,0.3215,-0.225,-0.1285,0.353,-0.0645,-0.111,-0.0895,-0.179,-0.1385,-0.0315,0.0305,-0.087,0.1165
13.899,0.0495,0.3705,0.321,-0.21,-0.1355,0.345,-0.0795,-0.1035,-0.096,-0.186,-0.145,-0.038,0.034,-0.082,0.121
13.9,0.0125,0.3285,0.316,-0.171,-0.1515,0.3215,-0.105,-0.123,-0.113,-0.2075,-0.1575,-0.051,0.033,-0.0905,0.131
13.901,-0.002,0.3015,0.3035,-0.15,-0.1525,0.302,-0.102,-0.1295,-0.121,-0.211,-0.1515,-0.0445,0.0325,-0.125,0.1335
13.902,-0.0155,0.2945,0.31,-0.14,-0.1625,0.302,-0.1025,-0.1475,-0.126,-0.2065,-0.1485,-0.042,0.039,-0.1135,0.1305
13.903,-0.061,0.2615,0.3225,-0.1005,-0.1915,0.2915,-0.1095,-0.1655,-0.133,-0.206,-0.1435,-0.034,0.045,-0.1085,0.13
13.904,-0.076,0.271,0.347,-0.098,-0.211,0.3085,-0.107,-0.122,-0.117,-0.1885,-0.1195,-0.011,0.05,-0.1125,0.1315
13.905,-0.058,0.28,0.338,-0.111,-0.198,0.3085,-0.116,-0.1225,-0.122,-0.189,-0.1105,-0.0065,0.07,-0.1225,0.1345
13.906,-0.06,0.261,0.3215,-0.101,-0.1905,0.291,-0.1185,-0.1515,-0.1455,-0.205,-0.1095,-0.0105,0.0775,-0.1265,0.122
13.907,-0.0115,0.284,0.2955,-0.1365,-0.153,0.2895,-0.094,-0.138,-0.1445,-0.2045,-0.0955,0.0035,0.076,-0.121,0.116
13.908,0.0505,0.317,0.2665,-0.184,-0.108,0.2915,-0.078,-0.1185,-0.128,-0.193,-0.0755,0.023,0.0835,-0.1475,0.1225
13.909,0.0875,0.373,0.286,-0.2305,-0.099,0.329,-0.066,-0.1005,-0.1095,-0.177,-0.056,0.0455,0.0795,-0.13,0.13
13.91,0.0715,0.41,0.3385,-0.241,-0.133,0.3735,-0.067,-0.0935,-0.1025,-0.176,-0.055,0.051,0.0685,-0.113,0.1355
13.911,0.053,0.3825,0.3295,-0.218,-0.138,0.3555,-0.1125,-0.1345,-0.128,-0.202,-0.086,0.0225,0.063,-0.1,0.1385
13.912,0.04,0.334,0.2945,-0.187,-0.127,0.3135,-0.144,-0.163,-0.148,-0.227,-0.12,-0.0085,0.059,-0.081,0.139
13.913,-0.022,0.2805,0.3025,-0.1295,-0.162,0.291,-0.1385,-0.151,-0.145,-0.2335,-0.1355,-0.021,0.05,-0.105,0.1255
13.914,-0.0635,0.2405,0.304,-0.0885,-0.1835,0.2715,-0.1355,-0.159,-0.149,-0.2365,-0.142,-0.024,0.041,-0.114,0.117
13.915,-0.002,0.2965,0.2985,-0.1475,-0.15,0.297,-0.123,-0.1455,-0.1315,-0.2225,-0.135,-0.0145,0.039,-0.107,0.122
13.916,0.0555,0.3555,0.3,-0.206,-0.122,0.3275,-0.102,-0.1195,-0.1,-0.196,-0.1145,0.0045,0.0435,-0.099,0.1355
13.917,0.0075,0.3345,0.327,-0.1715,-0.1595,0.33,-0.0715,-0.0815,-0.066,-0.1605,-0.092,0.023,0.0465,-0.1065,0.1345
13.918,0.021,0.351,0.33,-0.186,-0.154,0.34,-0.072,-0.0795,-0.0575,-0.148,-0.09,0.023,0.044,-0.1225,0.1245
13.919,0.0565,0.3755,0.3185,-0.2165,-0.131,0.3465,-0.084,-0.1,-0.0745,-0.1545,-0.096,0.009,0.051,-0.104,0.1225
13.92,0.0815,0.3545,0.2735,-0.218,-0.096,0.3135,-0.087,-0.1075,-0.0905,-0.1605,-0.101,-0.004,0.0565,-0.1155,0.1175
13.921,0.118,0.329,0.2115,-0.224,-0.0465,0.27,-0.1115,-0.128,-0.1075,-0.171,-0.1045,-0.0145,0.055,-0.141,0.1175
13.922,0.1155,0.3265,0.211,-0.221,-0.0475,0.2685,-0.134,-0.143,-0.1205,-0.1785,-0.11,-0.0215,0.059,-0.1255,0.1195
13.923,0.0855,0.3145,0.2285,-0.2,-0.0715,0.271,-0.1245,-0.1475,-0.122,-0.1775,-0.107,-0.017,0.058,-0.128,0.111
13.924,0.0345,0.3195,0.285,-0.1775,-0.125,0.302,-0.097,-0.124,-0.099,-0.1525,-0.078,0.009,0.058,-0.1135,0.0875
13.925,0.007,0.335,0.328,-0.1715,-0.1605,0.331,-0.0885,-0.116,-0.093,-0.146,-0.065,0.0235,0.0575,-0.1095,0.097
13.926,0.021,0.3505,0.329,-0.186,-0.1535,0.339,-0.0765,-0.12,-0.096,-0.148,-0.058,0.025,0.0555,-0.1135,0.1185
13.927,0.0525,0.373,0.3205,-0.213,-0.1335,0.346,-0.0795,-0.127,-0.104,-0.1525,-0.0535,0.0255,0.0525,-0.0915,0.1185
13.928,0.0585,0.3565,0.298,-0.2075,-0.1195,0.3265,-0.102,-0.136,-0.129,-0.179,-0.0705,0.011,0.058,-0.114,0.126
13.929,0.0245,0.3215,0.297,-0.173,-0.136,0.3085,-0.13,-0.1495,-0.147,-0.2055,-0.094,-0.0075,0.0705,-0.103,0.126
13.93,0.0515,0.361,0.3095,-0.2065,-0.129,0.335,-0.118,-0.1315,-0.1345,-0.1985,-0.084,0.0075,0.07,-0.096,0.1255
13.931,0.0985,0.4165,0.318,-0.258,-0.1095,0.367,-0.076,-0.1105,-0.1145,-0.1825,-0.0645,0.0345,0.0615,-0.108,0.1295
13.932,0.0675,0.3865,0.3185,-0.2275,-0.125,0.352,-0.0765,-0.124,-0.1185,-0.194,-0.0775,0.0265,0.0515,-0.095,0.1255
13.933,0.075,0.403,0.3285,-0.239,-0.1265,0.365,-0.083,-0.1175,-0.1125,-0.1905,-0.0805,0.0225,0.054,-0.114,0.1185
13.934,0.1185,0.435,0.317,-0.277,-0.099,0.3755,-0.094,-0.1215,-0.1055,-0.1835,-0.081,0.0175,0.0695,-0.103,0.1205
13.935,0.1435,0.4345,0.291,-0.2895,-0.0735,0.3625,-0.098,-0.129,-0.0995,-0.177,-0.086,0.0095,0.0745,-0.0825,0.123
13.936,0.131,0.441,0.31,-0.2865,-0.089,0.375,-0.09,-0.1215,-0.0905,-0.1655,-0.085,0.0105,0.0645,-0.0695,0.12
13.937,0.113,0.4335,0.321,-0.2735,-0.1035,0.3765,-0.077,-0.103,-0.0735,-0.155,-0.088,0.002,0.0615,-0.084,0.121
13.938,0.1355,0.462,0.327,-0.299,-0.0955,0.394,-0.0565,-0.089,-0.0565,-0.137,-0.0825,0.006,0.0635,-0.1145,0.1195
13.939,0.152,0.4725,0.3205,-0.313,-0.084,0.396,-0.039,-0.08,-0.054,-0.1245,-0.0765,0.01,0.058,-0.1045,0.124
13.94,0.0905,0.4015,0.311,-0.246,-0.11,0.3555,-0.0575,-0.095,-0.069,-0.1385,-0.099,-0.009,0.0595,-0.1,0.137
13.941,0.01,0.3285,0.3185,-0.1695,-0.154,0.323,-0.0935,-0.1315,-0.096,-0.1615,-0.1205,-0.0255,0.072,-0.1,0.139
13.942,0.0205,0.3395,0.319,-0.18,-0.149,0.3285,-0.0975,-0.126,-0.1015,-0.1645,-0.1155,-0.0215,0.077,-0.1135,0.1335
13.943,0.03,0.3305,0.3005,-0.18,-0.135,0.315,-0.112,-0.1325,-0.121,-0.1815,-0.1215,-0.026,0.077,-0.1085,0.1225
13.944,0.0285,0.306,0.2775,-0.1675,-0.1245,0.2915,-0.102,-0.1315,-0.126,-0.185,-0.1095,-0.015,0.0755,-0.0855,0.1245
13.945,0.0795,0.3685,0.289,-0.2245,-0.1045,0.3285,-0.0865,-0.124,-0.112,-0.169,-0.082,0.016,0.0785,-0.1065,0.1355
13.946,0.117,0.4195,0.3025,-0.2685,-0.0925,0.3605,-0.0945,-0.1275,-0.1165,-0.1685,-0.0745,0.03,0.089,-0.111,0.1385
